Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
FR;MOULINS;Moulins Centre;46.561973999905426, 3.3406389002497177;PM10;eea;µg/m³;6.0;2024-10-23T02:00:00-05:00;France
FR;LYON 7E ARRONDISSEMENT;GERLAND;45.73529000012643, 4.829793999852605;O3;eea;µg/m³;13.4;2024-03-18T02:00:00-05:00;France
FR;BILLÈRE;BILLERE;43.31080000018875, -0.39154300014668847;NO;eea;µg/m³;0.3;2024-03-11T02:00:00-05:00;France
FR;DIÈME;HAUT BEAUJOLAIS;45.96141000007654, 4.465710999551557;NO2;eea;µg/m³;10.75;2016-12-04T19:00:00-06:00;France
FR;LE LAMENTIN;Lamentin;14.610653000389345, -61.00258600006397;PM2.5;eea;µg/m³;6.6;2024-10-23T02:00:00-05:00;France
FR;MONT-DE-MARSAN;MONT-DE-MARSAN - MIDOUZE;43.88897299969277, -0.507028000198241;O3;eea;µg/m³;10.9;2024-10-23T02:00:00-05:00;France
FR;ALBI;ALBI DELMAS;43.927770000111174, 2.1458969996872663;NO;eea;µg/m³;1.1;2024-03-11T04:00:00-05:00;France
FR;FRÉJUS;ESTEREL;43.437873999889575, 6.7683900000872725;NO2;eea;µg/m³;10.5;2024-10-23T02:00:00-05:00;France
FR;Canton de Genève;Thônex-Foron;46.19560000000795, 6.2112500000923445;NO2;eea;µg/m³;10.6158;2024-10-23T02:00:00-05:00;France
FR;LES ROCHES-DE-CONDRIEU;ROCHES DE CONDRIEU;45.454516999976995, 4.766527999893274;SO2;eea;µg/m³;2.0;2024-10-23T02:00:00-05:00;France
FR;PEILLON;PEILLON;43.786582999679794, 7.373282999688281;PM2.5;eea;µg/m³;6.0;2024-10-23T02:00:00-05:00;France
FR;DUNKERQUE;St Pol mer - cheminots;51.03275999983689, 2.332357999931567;O3;eea;µg/m³;14.8;2024-10-23T02:00:00-05:00;France
FR;ANGOULÊME;ANGOULEME-GAMBETTA;45.65146300022503, 0.1623909997358011;NO;eea;µg/m³;16.5;2024-03-11T02:00:00-05:00;France
FR;AIRVAULT;AIRVAULT - Stade Laillé;46.82379500017337, -0.13563399987194635;PM10;eea;µg/m³;2.8;2024-10-21T20:00:00-05:00;France
FR;TOULOUSE;TRAFIC_TOULOUSE;43.643943999839024, 1.4682439996381662;PM2.5;eea;µg/m³;8.4;2024-10-23T02:00:00-05:00;France
FR;MARSEILLE 4E ARRONDISSEMENT;MARSEILLE 5 AVENUES;43.305285999927285, 5.394716000050973;NO2;eea;µg/m³;29.4;2024-10-23T02:00:00-05:00;France
FR;AGDE;Agathois-piscénois;43.28749999998123, 3.5048399998931283;NO2;eea;µg/m³;8.2;2024-10-23T02:00:00-05:00;France
FR;BÉTHENY;BETHENY;49.2822199998627, 4.051111000296181;NO;eea;µg/m³;13.1;2024-03-11T03:00:00-05:00;France
FR;BÉTHENY;BETHENY;49.2822199998627, 4.051111000296181;O3;eea;µg/m³;6.2;2024-10-23T02:00:00-05:00;France
FR;SAINT-MARTIN-D'HÈRES;St Martin d'Heres;45.18280000010896, 5.75310000015467;O3;eea;µg/m³;18.0;2024-10-23T02:00:00-05:00;France
FR;CLERMONT-FERRAND;Beaulieu;45.7690000000847, 3.1550000004242014;PM2.5;eea;µg/m³;3.3;2024-10-23T02:00:00-05:00;France
FR;REIMS;DOUMER;49.25073199990036, 4.023063999921394;NO;eea;µg/m³;51.3;2024-03-11T03:00:00-05:00;France
FR;REIMS;DOUMER;49.25073199990036, 4.023063999921394;NO2;eea;µg/m³;27.8;2024-10-23T02:00:00-05:00;France
FR;BASTIA;BASTIA MONTESORO;42.67133300009118, 9.434639000014734;O3;eea;µg/m³;41.1;2024-10-23T02:00:00-05:00;France
FR;AVIGNON;Avignon Rocade De Gaulle;43.931400000209464, 4.826874999795343;NO;eea;µg/m³;29.4;2024-03-11T04:00:00-05:00;France
FR;CHAMPIGNY-SUR-MARNE;CHAMPIGNY-SUR-MARNE;48.81638700018852, 2.517500000250933;NO2;eea;µg/m³;28.0;2024-10-23T02:00:00-05:00;France
FR;ROUEN;Espace du Palais;49.44235600018479, 1.0937889998627024;PM10;eea;µg/m³;9.0;2024-10-23T02:00:00-05:00;France
FR;SAINT-NAZAIRE-LE-DÉSERT;Drôme Rurale Sud-SND;44.5694430002562, 5.27897200043165;NO;eea;µg/m³;1.7;2024-03-11T04:00:00-05:00;France
FR;LE PUY-EN-VELAY;Le Puy-Causans;45.038999999839014, 3.887000999704049;O3;eea;µg/m³;44.9;2024-10-23T02:00:00-05:00;France
FR;PEYRUSSE-VIEILLE;PEYRUSSE;43.62869999973773, 0.17906900002820078;PM2.5;eea;µg/m³;4.5;2024-10-23T02:00:00-05:00;France
FR;BÉLESTA-EN-LAURAGAIS;BELESTA EN LAURAGAIS;43.44139000018022, 1.8219439996958304;O3;eea;µg/m³;29.8;2024-10-23T02:00:00-05:00;France
FR;POITIERS;Les Couronneries;46.58696000009186, 0.3584579997235412;O3;eea;µg/m³;12.8;2024-10-23T02:00:00-05:00;France
FR;STRASBOURG;Strasbourg A35 Remparts;48.58805500000642, 7.729721999878151;NO2;eea;µg/m³;59.4;2024-10-23T02:00:00-05:00;France
FR;VANNES;Vannes UTA;47.64892000006578, -2.7639900003799855;NO2;eea;µg/m³;21.1;2024-10-23T02:00:00-05:00;France
FR;TOULOUSE;Toulouse Port de l'Embouchure;43.610386000052614, 1.4152000002637386;PM2.5;eea;µg/m³;10.9;2024-10-23T02:00:00-05:00;France
FR;DIJON;Dijon Trémouille;47.325745000116044, 5.041056000176281;PM10;eea;µg/m³;12.5;2024-10-21T20:00:00-05:00;France
FR;RENNES;Rennes Laennec;48.108609999936846, -1.6658599997046093;PM2.5;eea;µg/m³;18.6;2024-10-23T02:00:00-05:00;France
FR;SAINT-LAURENT-BLANGY;St-Laurent-Blangy;50.308859999941504, 2.807368999561428;NO2;eea;µg/m³;25.5;2024-10-23T01:00:00-05:00;France
FR;ANGERS;ROI RENE;47.46699000003936, -0.5546860002680776;PM10;eea;µg/m³;8.8;2024-10-21T20:00:00-05:00;France
FR;ANGERS;BEAUX ARTS;47.46851299991581, -0.5560529998735877;NO;eea;µg/m³;30.2;2024-03-11T03:00:00-05:00;France
FR;HAYANGE;HAYANGE-MARSPICH;49.337400000050344, 6.08207000027807;SO2;eea;µg/m³;2.7;2019-10-30T08:00:00-05:00;France
FR;TARTAS;TARTAS Pelletrin;43.8388750000506, -0.8120299999203918;SO2;eea;µg/m³;5.1;2024-10-21T20:00:00-05:00;France
FR;SAINT-MALO;StMalo Rocabey;48.6530599999378, -2.0026799998035103;PM2.5;eea;µg/m³;7.8;2024-10-21T20:00:00-05:00;France
FR;SAINT-MALO;StMalo Rocabey;48.6530599999378, -2.0026799998035103;PM10;eea;µg/m³;16.7;2024-10-21T20:00:00-05:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;45.88999999999999, 0.9;NO2;EEA France;µg/m³;11.9;2024-03-04T01:00:00-06:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;43.47972, -1.488056;PM10;EEA France;µg/m³;2.4;2024-03-04T00:00:00-06:00;France
FR;ATMO NOUVELLE-AQUITAINE;NET-FR058A;46.58389, 0.345556;O3;EEA France;µg/m³;7.5;2024-03-04T01:00:00-06:00;France
FR;ATMO BOURGOGNE-FRANCHE-COMTE;NET-FR076A;46.67130699999999, 5.556806000000001;O3;EEA France;µg/m³;53.2;2024-03-04T01:00:00-06:00;France
FR;ATMO HAUTS DE FRANCE;NET-FR074A;49.9025, 2.3046;PM2.5;EEA France;µg/m³;12.2;2024-03-04T01:00:00-06:00;France
FR;ATMO OCCITANIE;NET-FR068A;43.630280000000006, 0.179722;NO;EEA France;µg/m³;0.2;2024-03-01T03:00:00-06:00;France
FR;Bouches-du-Rhône;FR02001;43.4858630407889, 5.17194245048405;SO2;EEA France;µg/m³;1.6;2020-05-03T04:00:00-05:00;France
FR;Morbihan;FR19032;47.742485358103, -3.3948053239104;PM2.5;EEA France;µg/m³;16.9;2024-01-29T11:00:00-06:00;France
FR;Bouches-du-Rhône;FR03021;43.52404453793, 5.44957577219403;NO;EEA France;µg/m³;43.2;2024-01-29T11:00:00-06:00;France
FR;Côte-d'Or;FR26010;47.3455490718848, 5.00222374385535;O3;EEA France;µg/m³;40.6;2024-01-29T11:00:00-06:00;France
FR;Côte-d'Or;FR26010;47.3455490718848, 5.00222374385535;NO2;EEA France;µg/m³;3.88;2018-07-06T07:00:00-05:00;France
FR;Nord;FR10029;50.9959079994751, 2.365994;PM10;EEA France;µg/m³;12.0;2023-04-03T23:00:00-05:00;France
FR;Bouches-du-Rhône;FR03030;43.453461514164, 5.4671019033872;NO2;EEA France;µg/m³;26.5;2019-12-31T04:00:00-06:00;France
FR;Gironde;FR31003;44.849695025703, -0.543888582031301;NO;EEA France;µg/m³;6.8;2024-01-08T06:00:00-06:00;France
FR;Puy-de-Dôme;FR07034;45.7757153069085, 3.09625023923328;PM2.5;EEA France;µg/m³;0.9;2023-12-20T06:00:00-06:00;France
